steps	episodes	elapsed	mean	median	stdev	max	min	average_q	average_loss	cumulative_steps	n_updates	rlen
1006	55	4.395712852478027	9.4	9.5	0.6992058987801011	10.0	8.0	4.070139	0.1482028846349567	1006	507	1006
2016	107	10.749022483825684	53.3	42.5	27.40660909748271	114.0	27.0	7.744794	0.2716743171517737	2016	1517	2016
3061	130	17.41616916656494	61.7	59.5	13.622285662350011	82.0	44.0	9.220869	0.28724350113421676	3061	2562	3061
4027	147	23.624431610107422	117.7	77.5	71.01337902113939	200.0	50.0	9.638017	0.26701973472954704	4027	3528	4027
5000	157	30.19783067703247	144.5	122.0	38.09709816887487	200.0	110.0	9.826593	0.21714429639978333	5000	4501	5000
6167	165	37.50905728340149	173.7	178.5	29.87771373076892	200.0	119.0	10.0277605	0.15337308227084578	6167	5668	6167
7022	171	43.40365743637085	189.5	194.5	12.738829529347575	200.0	164.0	10.048002	0.13315383201814257	7022	6523	7022
8119	177	51.48355722427368	192.8	200.0	12.281874630708637	200.0	163.0	10.108986	0.14984104091534392	8119	7620	8119
9014	184	57.43763256072998	200.0	200.0	0.0	200.0	200.0	9.994047	0.14215921664843337	9014	8515	9014
10088	191	64.56781601905823	190.0	196.5	11.803954139750516	200.0	173.0	10.011652	0.1322724359901622	10088	9589	10088
11143	197	76.01068925857544	196.5	200.0	8.631338250816034	200.0	173.0	10.091522	0.09197024287306704	11143	10644	11143
12101	203	83.23419952392578	172.7	173.5	21.453049511277722	200.0	138.0	10.073691	0.11650526084646116	12101	11602	12101
13044	209	90.35846781730652	200.0	200.0	0.0	200.0	200.0	10.094578	0.09613069443614222	13044	12545	13044
14042	215	98.21422362327576	197.9	200.0	6.640783086353597	200.0	179.0	10.108993	0.09629788702819496	14042	13543	14042
15137	222	106.37762117385864	171.7	175.0	14.900037285561105	200.0	141.0	10.089119	0.05224740217556246	15137	14638	15137
16024	228	112.99731922149658	179.5	180.5	16.886878535320456	200.0	155.0	10.055427	0.07875394859933295	16024	15525	16024
17126	234	120.57781600952148	195.1	200.0	12.3868209534704	200.0	161.0	10.091041	0.06588933334336616	17126	16627	17126
18002	239	126.74212694168091	190.5	194.5	10.741922029548013	200.0	173.0	10.062374	0.0673357393371407	18002	17503	18002
19043	245	133.5728132724762	185.0	192.5	17.061978522759635	200.0	159.0	10.064313	0.05420599134173244	19043	18544	19043
20000	251	139.67638635635376	187.2	193.0	14.581571322125138	200.0	166.0	9.985823	0.0607487478479743	20000	19501	20000
