steps	episodes	elapsed	mean	median	stdev	max	min	average_q	average_loss	cumulative_steps	n_updates	rlen
1014	84	4.4152445793151855	16.7	16.5	1.5670212364724212	19.0	14.0	6.053624	0.657012350410223	1014	813	1014
2086	105	9.244141101837158	124.1	122.0	9.024041962077378	139.0	113.0	7.083132	0.4014526230096817	2086	1885	2000
3088	113	13.794773817062378	121.7	121.5	9.764447984624859	143.0	109.0	9.687887	0.291975735463202	3088	2887	2000
4048	121	18.23433780670166	128.1	126.5	7.030884249746495	139.0	116.0	9.820045	0.14541469257324935	4048	3847	2000
5111	130	23.105398654937744	125.8	125.0	7.114929530376406	141.0	118.0	9.287081	0.06968391274567694	5111	4910	2000
6063	138	27.547765731811523	123.2	123.5	5.902918298980975	134.0	115.0	9.409651	0.05125911481794901	6063	5862	2000
7058	146	32.56805992126465	123.9	124.0	7.2180329730474355	136.0	115.0	9.38569	0.038127955626696346	7058	6857	2000
8073	154	37.32415795326233	124.2	125.0	5.329165037789691	133.0	117.0	9.303178	0.013875484789023175	8073	7872	2000
9088	162	42.315733909606934	121.0	120.5	4.521553322083512	128.0	115.0	9.331865	0.003989090293180198	9088	8887	2000
10017	170	47.01573848724365	125.6	124.0	6.995236474439826	138.0	115.0	9.261	0.018930831635370852	10017	9816	2000
11066	180	51.92264199256897	129.0	127.5	7.055336829505575	145.0	120.0	9.256527	0.03562688366975635	11066	10865	2000
12056	188	56.752713441848755	131.1	134.5	7.665941994736633	139.0	120.0	9.251919	0.02903922474011779	12056	11855	2000
13067	196	61.77926683425903	131.0	132.0	6.582805886043833	139.0	122.0	9.328748	0.01945808352669701	13067	12866	2000
14098	204	67.05070900917053	129.2	127.0	7.7430972843917925	144.0	119.0	9.484594	0.024492078707553447	14098	13897	2000
15015	211	71.59953951835632	138.7	139.0	8.206366092518932	153.0	126.0	9.421673	0.023280813322635367	15015	14814	2000
16122	219	76.6845965385437	133.4	133.0	8.553102101317133	150.0	119.0	9.412574	0.010738369500613772	16122	15921	2000
17082	226	81.35664701461792	132.2	129.0	8.243515970479802	146.0	124.0	9.330902	0.003367177058244124	17082	16881	2000
18060	233	86.03234052658081	131.6	130.5	8.275801404630787	147.0	120.0	9.314204	0.0028435970671125688	18060	17859	2000
19044	241	91.21672224998474	146.0	148.0	11.794537341969422	168.0	128.0	9.282236	0.014139066985808312	19044	18843	2000
20000	247	96.41761064529419	150.3	146.5	13.597793938724031	181.0	138.0	9.330976	0.009093284936388954	20000	19799	2000
