epi,t,wall_t,opt_step,frame,fps,total_reward,total_reward_ma,loss,lr,explore_var,entropy_coef,entropy,grad_norm
0.0,0.0,0.0,0.0,0.0,0.0,,,,0.002,,0.01,,
97.0,78.0,27.0,485.0,10000.0,370.37036,200.0,200.0,0.10436201,0.002,,0.0055,0.5754838,
155.0,8.0,51.0,775.0,20000.0,392.15686,200.0,200.0,0.4154444,0.002,,0.001,0.5580423,
208.0,178.0,73.0,1040.0,30000.0,410.9589,200.0,200.0,0.48381782,0.002,,0.001,0.54617226,
267.0,35.0,92.0,1335.0,40000.0,434.78262,200.0,200.0,-0.067070484,0.002,,0.001,0.59341496,
328.0,142.0,117.0,1640.0,50000.0,427.35043,200.0,200.0,-0.853279,0.002,,0.001,0.5802978,
379.0,195.0,138.0,1895.0,60000.0,434.78262,200.0,200.0,-0.113205984,0.002,,0.001,0.5501723,
430.0,62.0,161.0,2150.0,70000.0,434.78262,200.0,200.0,0.22543533,0.002,,0.001,0.5442638,
480.0,98.0,180.0,2400.0,80000.0,444.44446,200.0,200.0,-0.39882907,0.002,,0.001,0.5507148,
534.0,89.0,200.0,2670.0,90000.0,450.0,200.0,200.0,0.16487941,0.002,,0.001,0.55360556,
590.0,149.0,225.0,2950.0,100000.0,444.44446,200.0,200.0,0.22680672,0.002,,0.001,0.55122554,
